femur,female,mean
0,1,1
0.0000067,1,0.99
0.0000208,1,0.98
0.0000328,1,0.971
0.0000405,1,0.961
0.0000529,1,0.951
0.0000616,0.979,0.951
0.0000627,0.979,0.941
0.0000667,0.979,0.931
0.0000845,0.979,0.922
0.0001013,0.979,0.912
0.0001041,0.979,0.902
0.0001228,0.979,0.892
0.000149,0.979,0.882
0.0001759,0.979,0.873
0.0002054,0.979,0.863
0.0002292,0.979,0.853
0.0002625,0.979,0.843
0.0003059,0.979,0.833
0.0003581,0.979,0.824
0.000388,0.979,0.814
0.0004537,0.979,0.804
0.0005429,0.979,0.794
0.0005689,0.979,0.784
0.000616,0.979,0.775
0.0007025,0.979,0.765
0.0008342,0.979,0.755
0.0009435,0.979,0.745
0.0009726,0.979,0.735
0.0009866,0.979,0.725
0.0011219,0.979,0.716
0.001516,0.979,0.706
0.0017878,0.979,0.696
0.0017981,0.979,0.686
0.0018693,0.979,0.676
0.0021336,0.979,0.667
0.0026048,0.979,0.657
0.0030675,0.979,0.647
0.0033419,0.979,0.637
0.0034457,0.979,0.627
0.0034645,0.979,0.618
0.0038789,0.979,0.608
0.0044956,0.979,0.598
0.0047209,0.979,0.588
0.0049015,0.979,0.578
0.0054985,0.979,0.569
0.0075039,0.979,0.559
0.0100823,0.979,0.549
0.0115617,0.979,0.539
0.0122993,0.979,0.529
0.0128488,0.979,0.52
0.0131993,0.979,0.51
0.0133268,0.979,0.5
0.0136475,0.979,0.49
0.0168001,0.979,0.48
0.0226059,0.979,0.471
0.0260255,0.979,0.461
0.0301279,0.979,0.451
0.0338977,0.979,0.441
0.0344845,0.979,0.431
0.0351672,0.979,0.422
0.03641,0.979,0.412
0.0391669,0.979,0.402
0.0413723,0.979,0.392
0.0437075,0.979,0.382
0.0481126,0.979,0.373
0.0546076,0.979,0.363
0.0609826,0.979,0.353
0.0654361,0.979,0.343
0.0710858,0.979,0.333
0.083553,0.979,0.324
0.0937987,0.979,0.314
0.0951711,0.979,0.304
0.0970243,0.979,0.294
0.0990644,0.979,0.284
0.1032934,0.979,0.275
0.120837,0.979,0.265
0.1344302,0.979,0.255
0.1387116,0.979,0.245
0.1450219,0.979,0.235
0.1490699,0.957,0.235
0.1522734,0.957,0.225
0.1792533,0.957,0.216
0.2075768,0.957,0.206
0.2146341,0.957,0.196
0.219659,0.936,0.196
0.2242014,0.936,0.186
0.2350459,0.936,0.176
0.2419762,0.915,0.176
0.2597785,0.894,0.176
0.2842252,0.894,0.167
0.3019758,0.894,0.157
0.3251355,0.894,0.147
0.3421363,0.872,0.147
0.3482372,0.872,0.137
0.3590688,0.872,0.127
0.3871864,0.872,0.118
0.4287309,0.872,0.108
0.4590515,0.872,0.098
0.4670575,0.872,0.088
0.4679207,0.872,0.078
0.4691523,0.872,0.069
0.4754874,0.872,0.059
0.4841273,0.872,0.049
0.49539,0.851,0.049
0.5268245,0.851,0.039
0.551881,0.851,0.029
0.5885789,0.851,0.02
0.6281146,0.83,0.02
0.6624564,0.809,0.02
0.7152291,0.787,0.02
0.7407413,0.766,0.02
0.7435385,0.745,0.02
0.7450593,0.723,0.02
0.7496098,0.702,0.02
0.7541132,0.681,0.02
0.7760041,0.66,0.02
0.8041344,0.638,0.02
0.8124397,0.617,0.02
0.8157185,0.596,0.02
0.8207224,0.574,0.02
0.8231039,0.553,0.02
0.8233482,0.553,0.01
0.8319313,0.532,0.01
0.8411552,0.511,0.01
0.8429921,0.489,0.01
0.8596637,0.468,0.01
0.8772409,0.447,0.01
0.8801405,0.426,0.01
0.8826608,0.404,0.01
0.8858291,0.383,0.01
0.8885483,0.362,0.01
0.8898505,0.34,0.01
0.8902453,0.34,0
0.8904495,0.319,0
0.8915981,0.298,0
0.8993448,0.277,0
0.9063661,0.255,0
0.90696,0.234,0
0.9072875,0.213,0
0.9077098,0.191,0
0.914168,0.17,0
0.9215684,0.149,0
0.9239291,0.128,0
0.9258408,0.106,0
0.9284211,0.085,0
0.9390853,0.064,0
0.9502655,0.043,0
0.9542927,0.021,0
1,0,0